Date,company name,open,high,low,closing,avg_price_1,std_price_2,avg_volume_30,ROC_30,gold,"Financial updates: Company-specific quarterly, annual, or monthly financial performance reports or statements","Financial: Capital raising activities such as public offerings, loan or lease arrangements, and private placements",Financial:Dividend Declared,Financial: Annual and quater meetings,Technical: Discovery of gold,Operational: Expansion of mining operations (including M & A),Operational: Opening or clouser of mining,Operational updates: Changes in production output or efficiency,Operational: changes in key management positions,"Regulatory:  updates on lawsuits or penalties, Comply with regulatory standards sustainablity and corporate governance",Regulatory: Approval or rejection of mining permits & licenses,Geopolitical events: Political instability or conflicts
1/5/2023,Alamos Gold Inc.,-1.399207419,-1.387805287,-1.372434661,-1.264958022,-1.198443867,2.2669676392288474,0,-0.260735719,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Harmony Gold Mining Company Limited,-0.842718459,-0.877749596,-0.878426908,-0.796097108,-0.769099269,1.9869154987474291,0,-0.331205715,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Pan American Silver Corp.,0.9247718128076415,0.7679102518226785,0.7110750374454765,0.9245640901902942,1.2612976391369348,1.9815925392806852,0,0.069956261,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Endeavour Mining plc,0.620490087,0.5261619194902973,0.6074922283554806,0.6051310586039679,0.7785309770816583,2.3537470998301906,0,0.2196265785698624,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Osisko Gold Royalties Ltd,-1.1593886,-1.082139854,-1.054635249,-0.986508182,-0.998061736,1.112467787367049,0,-0.122573112,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Eldorado Gold Corporation,-1.295498444,-1.372675836,-1.2857441,-1.270594201,-1.130520613,1.5381494635492885,0,-0.33106302,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,IAMGOLD Corporation,0.15370340563444762,0.316296981,0.15778279135731707,0.4774234026079194,0.40434776802693917,2.617320055334633,0,-0.000825465,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,"Coeur Mining, Inc.",0.7322760432768983,0.6983032806627427,0.7827749987100945,0.8627013319620832,0.9172759298460967,1.3561946456682727,0,-0.00958331,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Equinox Gold Corp.,-1.555003245,-1.593602515,-1.583048313,-1.473256196,-1.333288027,3.135225114267434,0,-0.169753937,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Orla Mining Ltd.,-0.278616321,-0.071437246,-0.213338821,0.022635033,-0.048368992,0.47187396863972464,0,0.15973334000318926,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Sandstorm Gold Ltd.,0.7229993964770073,0.8315250471040272,0.7489631386208244,0.9904511771917679,0.8280736959357021,1.7042705094750883,0,0.102072548,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Centerra Gold Inc.,-0.779678451,-0.695118067,-0.735140977,-0.553669507,-0.687183874,1.0610866202831606,0,-0.052160064,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2023,Seabridge Gold Inc.,1.1266351849737046,0.9586089479263119,1.0139061787238635,1.0704529422986477,1.2411380157912526,4.359056395260812,0,0.040875644,-1.788161345,0,0,0,0,0,0,0,0,0,0,0,0
